Base,Date,Number of trips
B02764,2015-02-08,29959
B02764,2015-01-14,29855
B02764,2015-01-01,29684
B02764,2015-05-09,29511
B02764,2015-02-10,29434
B02764,2015-04-26,29393
B02764,2015-06-06,29246
B02764,2015-05-15,28740
B02764,2015-02-09,28589
B02764,2015-01-28,28497
B02764,2015-03-07,28478
B02764,2015-06-13,28448
B02764,2015-01-25,28400
B02764,2015-06-05,28382
B02764,2015-05-31,28306
B02764,2015-03-27,28207
B02764,2015-06-12,28162
B02764,2015-06-20,28093
B02764,2015-01-11,28054
B02764,2015-05-17,27998
B02764,2015-05-01,27981
B02764,2015-03-21,27830
B02764,2015-04-11,27679
B02764,2015-01-21,27651
B02764,2015-04-23,27645
B02764,2015-06-19,27642
B02764,2015-05-29,27519
B02764,2015-03-06,27437
B02764,2015-05-21,27186
B02764,2015-04-10,27184
B02764,2015-04-17,27122
B02764,2015-05-08,27087
B02764,2015-01-12,27074
B02764,2015-03-13,26907
B02764,2015-06-11,26781
B02764,2015-06-26,26771
B02764,2015-04-03,26731
B02764,2015-05-14,26458
B02764,2015-04-19,26434
B02764,2015-01-20,26339
B02764,2015-05-22,26326
B02764,2015-05-28,26282
B02764,2015-04-30,26227
B02764,2015-06-14,26171
B02764,2015-06-02,26130
B02764,2015-06-07,26073
B02764,2015-03-01,25959
B02764,2015-05-20,25950
B02764,2015-06-04,25948
B02764,2015-06-18,25934
B02764,2015-06-25,25927
B02764,2015-03-29,25872
B02764,2015-06-01,25830
B02764,2015-06-28,25767
B02764,2015-03-05,25687
B02764,2015-05-03,25606
B02764,2015-03-26,25525
B02764,2015-06-21,25475
B02764,2015-01-06,25447
B02764,2015-04-22,25315
B02764,2015-05-07,25303
B02764,2015-04-09,25220
B02764,2015-03-31,25185
B02764,2015-05-10,25102
B02764,2015-04-20,25069
B02764,2015-04-16,24964
B02764,2015-03-19,24903
B02764,2015-04-04,24803
B02764,2015-05-19,24772
B02764,2015-06-17,24739
B02764,2015-03-22,24669
B02764,2015-03-12,24635
B02764,2015-05-27,24476
B02764,2015-04-02,24446
B02764,2015-03-03,24441
B02764,2015-03-04,24388
B02764,2015-05-13,24285
B02764,2015-03-25,24247
B02764,2015-05-23,24187
B02764,2015-06-23,24186
B02764,2015-04-29,24150
B02764,2015-06-24,24122
B02764,2015-06-16,24101
B02764,2015-05-06,24043
B02764,2015-06-03,24010
B02764,2015-03-18,23955
B02764,2015-04-12,23933
B02764,2015-06-10,23895
B02764,2015-04-08,23692
B02764,2015-06-15,23659
B02764,2015-03-10,23400
B02764,2015-04-01,23345
B02764,2015-03-15,23269
B02764,2015-05-12,23202
B02764,2015-01-19,23150
B02764,2015-06-09,23030
B02764,2015-05-05,23001
B02764,2015-04-21,22793
B02764,2015-05-18,22750
B02764,2015-04-07,22702
B02764,2015-04-28,22689
B02764,2015-06-30,22675
B02764,2015-03-08,22453
B02764,2015-03-11,22283
B02764,2015-04-15,22281
B02764,2015-03-24,22224
B02764,2015-06-08,21960
B02764,2015-05-26,21863
B02764,2015-03-17,21785
B02764,2015-05-24,21693
B02764,2015-03-30,21642
B02764,2015-04-27,21610
B02764,2015-04-05,21432
B02764,2015-04-14,21243
B02764,2015-05-11,21164
B02764,2015-01-05,21070
B02764,2015-06-22,20925
B02764,2015-03-23,20826
B02764,2015-01-04,20781
B02764,2015-06-29,20749
B02764,2015-05-04,20686
B02764,2015-03-02,20490
B02764,2015-01-02,20225
B02764,2015-01-26,20158
B02764,2015-04-13,19596
B02764,2015-03-16,19539
B02764,2015-03-09,19348
B02764,2015-04-06,19055
B02764,2015-05-25,18725
B02764,2015-01-27,12271
B02765,2015-06-27,11235
B02765,2015-05-16,10904
B02765,2015-04-25,9930
B02765,2015-05-02,9895
B02765,2015-05-30,9415
B02765,2015-04-24,9361
B02765,2015-05-09,9268
B02765,2015-05-31,8988
B02765,2015-06-05,8931
B02765,2015-05-29,8883
B02765,2015-03-28,8865
B02765,2015-06-06,8851
B02765,2015-03-20,8804
B02765,2015-04-18,8785
B02765,2015-05-15,8751
B02765,2015-06-20,8728
B02765,2015-03-14,8702
B02765,2015-06-12,8696
B02765,2015-05-01,8661
B02765,2015-05-17,8644
B02765,2015-06-13,8643
B02765,2015-06-19,8603
B02765,2015-05-08,8557
B02765,2015-06-11,8446
B02765,2015-04-23,8410
B02765,2015-04-26,8386
B02765,2015-05-28,8315
B02765,2015-04-11,8278
B02765,2015-06-18,8274
B02765,2015-04-17,8243
B02765,2015-06-26,8231
B02765,2015-04-10,8141
B02765,2015-06-25,8106
B02765,2015-06-28,8063
B02765,2015-06-02,8030
B02765,2015-06-01,7973
B02765,2015-03-27,7972
B02765,2015-05-21,7962
B02765,2015-05-14,7941
B02765,2015-06-04,7925
B02765,2015-03-21,7859
B02765,2015-04-30,7805
B02765,2015-02-20,7804
B02765,2015-04-22,7782
B02765,2015-06-14,7749
B02765,2015-02-28,7741
B02765,2015-06-17,7714
B02765,2015-05-20,7703
B02765,2015-05-07,7684
B02765,2015-02-21,7681
B02765,2015-04-03,7675
B02765,2015-06-07,7654
B02765,2015-05-22,7615
B02765,2015-06-21,7582
B02765,2015-05-13,7570
B02765,2015-06-23,7550
B02765,2015-04-16,7535
B02765,2015-02-27,7533
B02765,2015-05-27,7526
B02765,2015-06-16,7500
B02765,2015-05-10,7455
B02765,2015-05-23,7436
B02765,2015-03-13,7391
B02765,2015-05-03,7390
B02765,2015-04-09,7369
B02765,2015-06-03,7291
B02765,2015-04-02,7251
B02765,2015-05-06,7251
B02765,2015-03-29,7245
B02765,2015-04-19,7243
B02765,2015-04-08,7238
B02765,2015-06-24,7234
B02765,2015-03-26,7225
B02765,2015-03-07,7224
B02765,2015-04-20,7212
B02765,2015-06-15,7190
B02765,2015-05-05,7176
B02765,2015-03-31,7169
B02765,2015-04-29,7164
B02765,2015-05-19,7154
B02765,2015-06-10,7147
B02765,2015-06-09,7094
B02765,2015-05-12,7090
B02765,2015-04-04,7072
B02765,2015-03-06,6971
B02765,2015-03-25,6798
B02765,2015-03-19,6767
B02765,2015-05-18,6760
B02765,2015-02-26,6739
B02765,2015-04-07,6649
B02765,2015-04-28,6643
B02765,2015-04-01,6628
